ticker,from,to
JBHT,,1996.12.23
JBHT,2008.12.22,2010.12.20
JBHT,2017.02.07,
JCOR,1998.01.07,1999.05.05
JD,2015.07.29,
JDSU,1999.05.05,2006.12.18
JNPR,2000.09.07,2009.10.29
JOY,2006.01.04,2011.12.06
JWN,,1999.06.10
KELYA,,1996.12.23
KHC,2015.07.06,
KLAC,1995.02.27,2016.02.22
KLAC,2016.12.19,
KMAGQ,1996.12.23,1998.01.07
KRFT,2013.03.18,2015.07.06
LAMR,2002.12.23,2008.12.22
LBTYA,2004.12.20,2009.12.21
LBTYA,2012.12.24,
LCOS,1999.05.28,2000.10.30
LEAP,2007.10.08,2008.12.22
LGNT,,1995.07.19
LGTO,1999.12.20,2000.12.18
LIFE,2001.12.24,2005.12.19
LIFE,2008.12.22,2013.08.15
LLTC,,2016.10.19
LMCA,2013.06.05,
LNCR,1998.12.21,1999.12.20
LNCR,2002.07.24,2006.12.18
LOGI,2007.02.01,2010.12.20
LOTC,,1995.07.05
LRCX,,1996.12.23
LRCX,2003.12.22,2012.12.24
LRCX,2014.12.22,
LVLT,1998.08.27,2001.12.24
LVLT,2003.12.22,2005.12.19
LVLT,2006.12.18,2008.12.22
MAPW,,1995.01.27
MAR,2013.11.18,
MAT,2009.12.21,2017.10.23
MCHP,1997.06.04,2013.12.23
MCHP,2016.07.18,
MCIC,,1998.09.16
MCIP,2004.12.20,2006.01.09
MCLD,1998.12.21,2001.12.24
MDLZ,2012.07.23,
MEDI,1999.12.20,2007.06.01
MELI,2017.06.19,
MERQ,2000.12.18,2006.01.04
MFE,1996.12.23,2000.12.18
MFNXQ,1999.12.20,2001.12.24
MFST,1995.07.05,1996.12.31
MICC,2006.05.08,2011.05.27
MKC,,1999.05.25
MLHR,,1996.12.23
MLHR,1997.06.12,2000.12.18
MLNK,1999.03.18,2001.12.24
MLNM,2000.12.18,2005.12.19
MMEDC,,1995.11.27
MNST,2007.12.24,2009.12.21
MNST,2011.12.19,
MOLX,,2005.12.19
MRVL,2003.12.22,2012.12.24
MSFT,,
MU,2010.12.20,
MUEI,1995.12.18,1999.12.20
MWW,2000.12.18,2003.12.22
MWW,2005.12.19,2008.11.10
MXIM,1995.12.18,2007.10.02
MXIM,2008.12.22,2014.12.22
MXIM,2015.12.21,
MYL,2009.12.21,
NCLH,2015.12.21,
NDSN,,1995.12.18
NFLX,2010.12.20,2012.12.24
NFLX,2013.06.06,
NIHD,2005.12.19,2011.12.19
NOVL,,2001.12.24
NSCP,1997.05.22,1999.03.18
NSOL,1999.12.20,2000.06.09
NTAP,1999.12.20,2016.12.19
NTES,2016.03.16,
NUAN,2011.12.19,2013.12.23
NVDA,2001.05.31,2004.12.20
NVDA,2005.12.19,
NVLS,2001.03.13,2005.12.19
NWACQ,1995.08.18,2000.12.18
NXPI,2013.12.23,2017.02.07
NXTL,,2005.08.15
OFISQ,1997.07.01,1998.12.21
OHP,1996.02.29,1998.12.21
ORCL,,2013.07.15
ORLY,2008.12.22,
OSI,,1998.01.07
PAGEQ,,1998.01.07
PAIR,1996.12.23,1998.12.21
PALM,2000.11.06,2001.12.24
PAYX,,
PCAR,,
PCLN,2009.10.29,
PDCO,2002.12.16,2010.12.20
PDLI,2001.12.24,2002.12.23
PETM,1995.12.18,1998.01.07
PETM,2002.12.23,2008.12.22
PHS,,2000.12.18
PHYB,,1995.11.06
PHYCQ,1996.12.23,1998.12.21
PIXR,2002.12.23,2006.05.08
PMCS,1999.12.20,2002.12.23
PMTC,,2001.12.24
PPDI,2008.12.22,2009.12.21
PRGO,,1996.12.23
PRGO,2011.12.06,2013.06.06
PSFT,1995.12.18,2004.12.29
PTCM,,1995.09.27
PTEN,2002.12.23,2004.12.20
PTEN,2005.12.19,2007.12.24
PYPL,2015.11.11,
Q,1998.08.28,1999.12.30
QCOM,,
QGEN,2009.12.21,2011.12.19
QLGC,1999.12.20,2005.12.19
QTM,,1999.08.04
QTRN,1996.12.23,2000.12.18
QVCA,2006.10.24,
QVCN,,1995.02.13
RATL,2000.12.18,2002.12.23
RDRTQ,1995.12.18,1996.12.23
REGN,2012.12.24,
RFMD,1999.12.20,2003.12.22
RHT,2005.12.19,2006.12.12
RNWK,1999.11.22,2001.12.24
ROAD,,1995.11.27
ROST,1997.06.12,1999.12.20
ROST,2002.12.23,2007.12.24
ROST,2008.12.22,
RPM,1995.01.27,1998.01.07
RWIN,1996.08.02,1997.06.12
RXSD,1998.02.11,1999.12.20
RYAAY,2002.12.23,2004.12.20
RYAAY,2007.02.14,2009.12.21
SANM,1998.12.30,2005.12.19
SBAC,2012.12.24,2017.03.20
SBUX,1996.11.25,
SDLI,1999.12.20,2001.02.13
SEBL,1999.06.25,2006.02.01
SEPR,2001.12.24,2002.12.23
SEPR,2005.08.15,2007.12.24
SHLD,2004.08.19,2013.12.23
SHLM,1995.02.13,1996.12.23
SHPG,2016.10.19,
SIAL,,2000.12.18
SIAL,2002.07.15,2015.08.03
SIRI,2004.12.20,2008.12.22
SIRI,2011.07.15,
SKYT,,1996.12.23
SMLS,,1995.02.27
SNDK,2003.11.13,2008.12.22
SNDK,2009.12.21,2016.03.16
SNDT,1996.12.23,1997.06.04
SNPS,1996.12.23,2000.12.18
SNPS,2001.12.24,2005.12.19
SONO,,1995.03.06
SPLS,,2015.12.21
SPOT,1997.10.15,2004.08.19
SRCL,2007.12.24,2016.12.19
SSCC,1997.07.24,2005.12.19
SSSS,,1996.12.23
STEI,1997.08.13,1999.12.20
STJ,,1996.11.25
STLD,2007.12.24,2009.12.21
STRM,1995.01.27,1996.07.10
STRZA,2012.12.24,2013.03.18
STX,2008.11.10,
SWKS,2015.08.03,
SY,,1998.12.21
SYK,,1997.07.24
SYMC,2001.12.24,
TCOMA,,1999.03.10
TECD,1998.01.07,1999.12.20
TECUA,,1995.12.18
TEVA,2002.11.07,2012.05.30
TLAB,,2008.05.19
TMUS,2015.12.21,
TRIN,1998.01.07,1999.12.20
TRIP,2013.12.23,2017.04.24
TSCO,2013.12.23,
TSLA,2013.07.15,
TSN,,1997.10.15
TVL,,1995.10.03
TXN,2012.04.23,
UAL,2007.03.08,2008.07.21
ULTA,2015.12.21,
URBN,2005.12.19,2006.12.18
URBN,2008.12.22,2011.12.19
USHC,,1996.07.17
USRX,1995.09.27,1997.06.12
VCELA,,1996.12.23
VIAB,2012.05.30,
VIP,2013.10.31,2015.12.21
VKNG,,1998.08.27
VMED,1998.12.21,2000.10.27
VMED,2004.12.20,2008.12.22
VMED,2009.12.21,2013.06.05
VOD,2009.12.21,
VRSK,2012.12.24,
VRSN,2000.06.09,2012.12.24
VRTS,1998.12.21,2005.07.01
VRTX,2006.12.18,
VSTR,1999.10.27,2001.05.31
VTSS,1998.12.21,2002.12.23
WBA,2015.03.23,
WCLX,1996.12.23,1998.12.21
WCOEQ,,2002.07.24
WCRX,2008.12.22,2012.12.24
WDC,2012.12.24,
WFM,2002.12.23,2008.12.22
WFM,2010.12.20,2016.12.19
WMTT,,1996.12.23
WOR,,1999.12.20
WYNN,2004.12.20,2015.12.21
WYNN,2017.04.24,
XLNX,,
XMSR,2004.12.20,2007.12.24
XOXOQ,1999.12.20,2001.12.17
XRAY,2002.12.23,2013.12.23
YHOO,1998.09.16,2017.06.19
YRCW,,1995.12.18
ALGN,2017.10.23
